draw_date,num1,num2,num3,num4,num5,num6,jackpot,winners
2007-01-01,22,25,29,30,32,39,12940000.000000002,0
2007-01-03,3,10,13,29,30,42,10940000.000000002,0
2007-01-05,2,5,12,19,36,38,16940000,2
2007-01-08,3,5,12,15,28,34,12940000.000000002,0
2007-01-10,1,12,22,24,25,28,15940000.000000002,1
2007-01-12,6,10,18,35,36,39,17940000,0
2007-01-15,1,2,7,11,21,40,9940000.000000002,0
2007-01-17,4,25,26,27,31,34,9940000.000000002,0
2007-01-19,10,11,18,35,38,41,6940000,0
2007-01-22,7,15,16,18,23,42,10940000.000000002,0
2007-01-24,1,8,18,19,32,35,15940000.000000002,0
2007-01-26,1,10,18,21,27,33,9940000.000000002,0
2007-01-29,5,13,26,35,41,42,13940000.000000002,0
2007-01-31,5,6,20,29,33,35,14940000.000000002,1
2007-02-02,3,6,15,20,30,38,12940000.000000002,0
2007-02-05,2,4,19,23,26,40,14940000.000000002,0
2007-02-07,4,10,14,20,22,42,14940000.000000002,0
2007-02-09,3,11,13,23,30,38,16940000,0
2007-02-12,2,8,11,19,33,40,8940000.000000002,0
2007-02-14,2,3,9,11,15,35,5940000,1
2007-02-16,4,9,14,16,30,33,13940000.000000002,0
2007-02-19,14,18,26,29,30,31,16940000,1
2007-02-21,3,4,17,24,25,38,18940000,0
2007-02-23,2,3,17,20,36,37,15940000.000000002,0
2007-02-26,2,24,28,29,35,36,9940000.000000002,0
2007-02-28,1,4,7,8,29,30,6940000,0
2007-03-02,1,7,15,16,32,36,15940000.000000002,0
2007-03-05,1,2,18,27,28,35,5940000,0
2007-03-07,4,8,17,22,29,32,9940000.000000002,0
2007-03-09,7,19,27,31,36,37,6940000,0
2007-03-12,5,13,22,25,32,41,15940000.000000002,2
2007-03-14,3,9,13,15,23,27,7940000,0
2007-03-16,5,11,18,20,25,28,16940000,0
2007-03-19,3,5,17,28,31,37,18940000,0
2007-03-21,11,19,28,35,40,41,14940000.000000002,0
2007-03-23,2,4,7,27,39,41,9940000.000000002,0
2007-03-26,8,9,23,24,27,29,13940000.000000002,0
2007-03-28,6,31,32,39,40,41,7940000,2
2007-03-30,2,6,11,13,17,36,13940000.000000002,1
2007-04-02,3,11,13,14,15,18,15940000.000000002,0
2007-04-04,9,11,12,13,36,38,7940000,0
2007-04-06,11,16,17,27,37,41,13940000.000000002,2
2007-04-09,1,6,11,25,29,33,17940000,0
2007-04-11,5,8,15,35,37,42,14940000.000000002,0
2007-04-13,6,15,16,20,34,39,5940000,0
2007-04-16,9,14,15,27,32,37,14940000.000000002,1
2007-04-18,3,7,14,21,38,41,9940000.000000002,0
2007-04-20,4,20,33,34,37,38,5940000,0
2007-04-23,13,18,20,33,38,40,5940000,0
2007-04-25,5,17,29,31,33,37,11940000.000000002,0
